Metadatum 1,Metadatum 2,Metadatum 3,Metadatum 4,Metadatum 5,Metadatum 6,Metadatum 7,Metadatum 8,Metadatum 9,Metadatum 10,Metadatum 11,Metadatum 12,Metadatum 13,Metadatum 14,Metadatum 15,Metadatum 16,Metadatum 17,Metadatum 18,Metadatum 19,Metadatum 20,Metadatum 21,Metadatum 22,Metadatum 23,Metadatum 24,Metadatum 25,Metadatum 26,Metadatum 27,Metadatum 28,Metadatum 29,Metadatum 30,Metadatum 31
##ENSG00000225200,##ENSG00000000971,##ENSG00000141376,##ENSG00000153317,##ENSG00000167258,##ENSG00000121022,##ENSG00000092978,##ENSG00000228818,##ENSG00000130193,##ENSG00000143457,##ENSG00000158796,##ENSG00000203782,##ENSG00000158669,##ENSG00000254459,##ENSG00000251013,##ENSG00000260317,##ENSG00000058673,##ENSG00000108423,##ENSG00000104447,##ENSG00000173991,##ENSG00000255449,##ENSG00000254898,##ENSG00000176209,##ENSG00000254902,##ENSG00000183779,##ENSG00000171940,##ENSG00000101182,##ENSG00000126351,##ENSG00000149716,##ENSG00000169242,##ENSG00000259799
##ENSG00000211897,##ENSG00000177888,##ENSG00000259384,##ENSG00000165071,##ENSG00000108344,##ENSG00000104218,##ENSG00000092969,##ENSG00000091483,##ENSG00000253806,##ENSG00000143374,##ENSG00000158793,##ENSG00000143546,##ENSG00000264578,##ENSG00000241782,##ENSG00000186106,##ENSG00000205189,##ENSG00000198625,##ENSG00000108443,##ENSG00000136997,##ENSG00000161395,##ENSG00000087884,##ENSG00000147548,##ENSG00000254165,##ENSG00000168040,##ENSG00000233170,##ENSG00000124224,##ENSG00000101216,##ENSG00000126368,##ENSG00000110092,##ENSG00000169241,##ENSG00000162341
##ENSG00000211899,##ENSG00000023572,##ENSG00000007312,##ENSG00000129292,##ENSG00000266469,##ENSG00000066777,##ENSG00000067533,##ENSG00000054277,##ENSG00000126233,##ENSG00000143369,##ENSG00000162755,##ENSG00000163221,##ENSG00000083168,##ENSG00000254829,##ENSG00000034677,##ENSG00000251867,##ENSG00000182004,##ENSG00000189050,##ENSG00000164754,##ENSG00000141736,##ENSG00000219529,##ENSG00000272159,##ENSG00000168575,##ENSG00000254721,##ENSG00000147475,##ENSG00000124209,##ENSG00000232442,##ENSG00000188895,,##ENSG00000179085,##ENSG00000132740
##ENSG00000211896,##ENSG00000134371,##ENSG00000170921,##ENSG00000153310,##ENSG00000125686,##ENSG00000271966,##ENSG00000228063,##ENSG00000203668,##ENSG00000167656,##ENSG00000143382,##ENSG00000143256,##ENSG00000163220,##ENSG00000253174,##ENSG00000048649,##ENSG00000147650,##ENSG00000085719,##ENSG00000240219,##ENSG00000267248,##ENSG00000147679,##ENSG00000131748,##ENSG00000074201,##ENSG00000165046,##ENSG00000131931,##ENSG00000255539,##ENSG00000147471,##ENSG00000124164,##ENSG00000197457,##ENSG00000108349,,##ENSG00000163354,##ENSG00000197345
##ENSG00000101132,##ENSG00000116747,##ENSG00000266173,##ENSG00000223697,##ENSG00000108306,##ENSG00000178460,##ENSG00000136636,##ENSG00000117791,##ENSG00000160886,##ENSG00000237781,##ENSG00000186517,##ENSG00000203785,##ENSG00000147536,##ENSG00000227376,##ENSG00000070756,##ENSG00000123124,##ENSG00000240710,##ENSG00000170836,##ENSG00000147677,##ENSG00000131771,##ENSG00000178301,##ENSG00000272092,##ENSG00000120925,##ENSG00000254604,##ENSG00000104221,##ENSG00000124225,##ENSG00000184402,##ENSG00000108352,,##ENSG00000160685,
##ENSG00000233347,##ENSG00000213047,##ENSG00000108510,##ENSG00000254317,##ENSG00000008838,##ENSG00000213865,##ENSG00000143353,##ENSG00000186205,##ENSG00000167653,##ENSG00000143420,##ENSG00000215845,##ENSG00000143556,##ENSG00000029534,##ENSG00000149262,##ENSG00000104490,##ENSG00000250569,##ENSG00000133056,##ENSG00000170832,##ENSG00000164758,##ENSG00000141741,##ENSG00000118369,##ENSG00000147535,##ENSG00000168522,##ENSG00000131626,##ENSG00000156675,##ENSG00000124097,##ENSG00000258366,,,##ENSG00000160688,
##ENSG00000020256,##ENSG00000203724,##ENSG00000136490,##ENSG00000132294,##ENSG00000108298,##ENSG00000175073,##ENSG00000225920,##ENSG00000168264,##ENSG00000198576,##ENSG00000143384,##ENSG00000158773,##ENSG00000143569,##ENSG00000104332,##ENSG00000246174,##ENSG00000253629,##ENSG00000176623,##ENSG00000158615,##ENSG00000068097,##ENSG00000177570,##ENSG00000073605,##ENSG00000149269,##ENSG00000255201,##ENSG00000168172,##ENSG00000246889,##ENSG00000085788,##ENSG00000124253,##ENSG00000101246,,,##ENSG00000232093,
##ENSG00000172216,##ENSG00000116750,##ENSG00000178607,##ENSG00000155926,##ENSG00000266101,##ENSG00000245910,##ENSG00000215817,##ENSG00000228830,##ENSG00000234616,##ENSG00000163131,##ENSG00000213080,##ENSG00000143515,##ENSG00000147533,##ENSG00000188997,##ENSG00000104450,##ENSG00000076554,##ENSG00000170382,##ENSG00000062716,##ENSG00000182197,##ENSG00000172057,,##ENSG00000239218,##ENSG00000254198,##ENSG00000085733,##ENSG00000156735,##ENSG00000254995,##ENSG00000229299,,,##ENSG00000143537,
##ENSG00000240849,##ENSG00000272579,##ENSG00000108604,##ENSG00000042832,##ENSG00000067191,##ENSG00000169085,##ENSG00000067704,##ENSG00000135747,##ENSG00000171045,##ENSG00000143387,##ENSG00000143224,##ENSG00000143612,##ENSG00000070718,##ENSG00000159063,##ENSG00000147669,##ENSG00000076641,##ENSG00000058668,##ENSG00000062725,##ENSG00000164761,##ENSG00000108342,,##ENSG00000077782,##ENSG00000185900,,##ENSG00000260949,##ENSG00000124222,##ENSG00000197114,,,##ENSG00000243364,
##ENSG00000213714,##ENSG00000151414,##ENSG00000108588,##ENSG00000225259,##ENSG00000171475,##ENSG00000185697,##ENSG00000136628,##ENSG00000153207,##ENSG00000160882,##ENSG00000143437,##ENSG00000158850,##ENSG00000188015,##ENSG00000104365,##ENSG00000033327,##ENSG00000260368,##ENSG00000164687,##ENSG00000143842,##ENSG00000141378,##ENSG00000172172,,,##ENSG00000253570,##ENSG00000165102,,##ENSG00000272128,##ENSG00000218018,##ENSG00000130584,,,##ENSG00000160691,
##ENSG00000022277,##ENSG00000157181,##ENSG00000008283,##ENSG00000104419,,##ENSG00000147576,##ENSG00000213033,##ENSG00000236773,##ENSG00000253210,##ENSG00000163125,##ENSG00000143222,##ENSG00000196754,##ENSG00000104368,##ENSG00000254420,##ENSG00000164924,##ENSG00000147586,##ENSG00000163545,##ENSG00000141367,##ENSG00000136999,,,##ENSG00000147526,,,##ENSG00000187840,##ENSG00000101146,##ENSG00000130589,,,##ENSG00000271380,
##ENSG00000054793,##ENSG00000262180,##ENSG00000087191,##ENSG00000008513,,##ENSG00000272155,##ENSG00000218283,##ENSG00000214837,##ENSG00000105339,##ENSG00000143379,##ENSG00000224985,##ENSG00000169469,##ENSG00000240395,##ENSG00000137513,##ENSG00000104517,##ENSG00000272518,##ENSG00000235363,##ENSG00000108406,##ENSG00000172167,,,##ENSG00000253829,,,##ENSG00000253356,##ENSG00000132819,##ENSG00000130703,,,##ENSG00000163348,
##ENSG00000244687,##ENSG00000047410,##ENSG00000146872,##ENSG00000261220,,##ENSG00000066855,##ENSG00000162813,##ENSG00000253326,##ENSG00000169398,##ENSG00000117360,##ENSG00000143258,##ENSG00000197956,##ENSG00000070501,,##ENSG00000246263,##ENSG00000170323,##ENSG00000174529,##ENSG00000267207,##ENSG00000224722,,,##ENSG00000169499,,,##ENSG00000147465,##ENSG00000215440,##ENSG00000101213,,,##ENSG00000173207,
##ENSG00000087589,##ENSG00000233196,##ENSG00000108592,##ENSG00000248492,,##ENSG00000104442,##ENSG00000250536,##ENSG00000143653,##ENSG00000177335,##ENSG00000117362,##ENSG00000158864,##ENSG00000238279,##ENSG00000078668,,##ENSG00000272037,##ENSG00000104267,##ENSG00000271580,##ENSG00000266002,##ENSG00000253676,,,##ENSG00000169490,,,##ENSG00000129691,##ENSG00000254419,##ENSG00000101210,,,##ENSG00000163346,
##ENSG00000101138,##ENSG00000228238,##ENSG00000239246,##ENSG00000066827,,##ENSG00000172817,##ENSG00000118873,##ENSG00000143753,##ENSG00000160932,##ENSG00000159208,##ENSG00000158869,##ENSG00000196154,,,##ENSG00000048392,##ENSG00000133739,##ENSG00000122176,##ENSG00000175155,##ENSG00000172164,,,##ENSG00000253645,,,##ENSG00000175324,##ENSG00000101160,##ENSG00000125534,,,##ENSG00000163344,
##ENSG00000101096,##ENSG00000226723,##ENSG00000198909,##ENSG00000259820,,##ENSG00000198363,##ENSG00000152104,##ENSG00000143756,##ENSG00000161016,##ENSG00000118292,##ENSG00000158874,##ENSG00000241794,,,##ENSG00000271882,##ENSG00000185015,##ENSG00000159388,##ENSG00000153982,##ENSG00000136960,,,##ENSG00000168615,,,,##ENSG00000268649,##ENSG00000130702,,,##ENSG00000236263,
##ENSG00000124216,##ENSG00000116679,##ENSG00000154217,##ENSG00000131773,,##ENSG00000171316,##ENSG00000143499,##ENSG00000162817,##ENSG00000197363,##ENSG00000143409,##ENSG00000248485,##ENSG00000143575,,,##ENSG00000261087,##ENSG00000253549,##ENSG00000188783,##ENSG00000068489,##ENSG00000254615,,,##ENSG00000176907,,,,##ENSG00000101158,##ENSG00000101161,,,##ENSG00000160766,
##ENSG00000149657,##ENSG00000116711,##ENSG00000198231,,,##ENSG00000137563,##ENSG00000227591,##ENSG00000227230,##ENSG00000014164,##ENSG00000143412,##ENSG00000158882,##ENSG00000143549,,,##ENSG00000120963,##ENSG00000164879,##ENSG00000117222,##ENSG00000167447,##ENSG00000155792,,,,,,,##ENSG00000087460,##ENSG00000196421,,,##ENSG00000185499,
##ENSG00000087586,##ENSG00000116741,##ENSG00000159640,,,##ENSG00000261542,##ENSG00000117594,##ENSG00000143702,##ENSG00000196378,##ENSG00000259357,##ENSG00000081721,##ENSG00000203761,,,##ENSG00000155090,##ENSG00000176731,##ENSG00000133048,##ENSG00000182628,##ENSG00000136982,,,,,,,##ENSG00000225806,##ENSG00000196700,,,##ENSG00000173171,
##ENSG00000229222,##ENSG00000116668,##ENSG00000108622,,,##ENSG00000213881,##ENSG00000196878,##ENSG00000260698,##ENSG00000198169,##ENSG00000143418,##ENSG00000162746,##ENSG00000143545,,,##ENSG00000164934,##ENSG00000164683,##ENSG00000133069,##ENSG00000224738,##ENSG00000104549,,,,,,,##ENSG00000124172,##ENSG00000171858,,,##ENSG00000163462,
##ENSG00000101181,##ENSG00000231084,##ENSG00000266402,,,##ENSG00000185728,##ENSG00000123689,##ENSG00000162851,##ENSG00000170619,##ENSG00000143363,##ENSG00000158887,##ENSG00000132676,,,##ENSG00000164933,##ENSG00000133731,##ENSG00000159348,,##ENSG00000180938,,,,,,,##ENSG00000101166,##ENSG00000228812,,,##ENSG00000231064,
##ENSG00000124098,##ENSG00000073756,##ENSG00000265100,,,##ENSG00000270673,##ENSG00000162757,##ENSG00000240963,##ENSG00000147789,##ENSG00000143401,##ENSG00000229808,##ENSG00000188643,,,##ENSG00000266289,##ENSG00000133740,##ENSG00000143850,,##ENSG00000164830,,,,,,,##ENSG00000185834,##ENSG00000130699,,,##ENSG00000169231,
##ENSG00000125520,##ENSG00000238061,##ENSG00000271605,,,##ENSG00000104388,##ENSG00000117595,##ENSG00000054282,##ENSG00000253716,##ENSG00000163141,##ENSG00000117091,##ENSG00000189334,,,##ENSG00000155096,##ENSG00000164695,##ENSG00000159346,,##ENSG00000064313,,,,,,,##ENSG00000196074,##ENSG00000232803,,,##ENSG00000177628,
##ENSG00000196396,##ENSG00000121486,##ENSG00000087995,,,##ENSG00000198846,##ENSG00000009790,##ENSG00000035687,##ENSG00000250571,##ENSG00000197622,##ENSG00000143226,##ENSG00000143578,,,##ENSG00000164932,##ENSG00000104231,##ENSG00000163444,,##ENSG00000147684,,,,,,,##ENSG00000196227,##ENSG00000171700,,,##ENSG00000236675,
##ENSG00000125531,##ENSG00000090104,##ENSG00000267023,,,##ENSG00000035681,##ENSG00000117597,##ENSG00000173726,##ENSG00000185730,##ENSG00000143443,##ENSG00000173110,##ENSG00000271853,,,##ENSG00000164919,##ENSG00000104497,##ENSG00000133059,,##ENSG00000164961,,,,,,,,##ENSG00000125510,,,##ENSG00000116521,
##ENSG00000042062,##ENSG00000273004,##ENSG00000197170,,,##ENSG00000137575,##ENSG00000054392,##ENSG00000117020,##ENSG00000181638,##ENSG00000143458,##ENSG00000162747,##ENSG00000272654,,,##ENSG00000155097,##ENSG00000104435,##ENSG00000230280,,##ENSG00000156831,,,,,,,,##ENSG00000171703,,,##ENSG00000176444,
##ENSG00000124226,##ENSG00000121481,##ENSG00000108506,,,##ENSG00000169122,##ENSG00000228110,##ENSG00000121644,##ENSG00000272172,##ENSG00000163157,##ENSG00000225217,##ENSG00000189171,,,##ENSG00000253320,##ENSG00000104432,##ENSG00000174514,,##ENSG00000272502,,,,,,,,##ENSG00000101150,,,##ENSG00000143630,
##ENSG00000232043,##ENSG00000231767,##ENSG00000196704,,,##ENSG00000215114,##ENSG00000117625,##ENSG00000185420,##ENSG00000263640,##ENSG00000143434,##ENSG00000273112,##ENSG00000143543,,,##ENSG00000164929,##ENSG00000164751,##ENSG00000143847,,##ENSG00000173334,,,,,,,,##ENSG00000101187,,,##ENSG00000160752,
##ENSG00000226332,##ENSG00000135842,##ENSG00000130935,,,##ENSG00000104331,##ENSG00000082512,##ENSG00000273416,##ENSG00000123908,##ENSG00000163156,##ENSG00000118217,##ENSG00000272030,,,##ENSG00000164930,##ENSG00000171033,##ENSG00000117153,,##ENSG00000253167,,,,,,,,##ENSG00000101152,,,##ENSG00000160753,
##ENSG00000130706,##ENSG00000198860,##ENSG00000011028,,,##ENSG00000181690,##ENSG00000170385,##ENSG00000162852,##ENSG00000022567,##ENSG00000163155,##ENSG00000188931,##ENSG00000160679,,,##ENSG00000254281,##ENSG00000104427,##ENSG00000183155,,##ENSG00000170881,,,,,,,,##ENSG00000198276,,,##ENSG00000225855,
##ENSG00000197818,##ENSG00000116406,##ENSG00000171634,,,##ENSG00000272343,##ENSG00000236809,##ENSG00000179456,##ENSG00000104518,##ENSG00000163159,##ENSG00000143252,##ENSG00000143553,,,##ENSG00000132549,##ENSG00000253919,##ENSG00000158711,,##ENSG00000245149,,,,,,,,##ENSG00000101199,,,##ENSG00000116539,
##ENSG00000158480,##ENSG00000162704,##ENSG00000198265,,,##ENSG00000008988,##ENSG00000153363,##ENSG00000188295,##ENSG00000158106,##ENSG00000023902,##ENSG00000152332,##ENSG00000143570,,,##ENSG00000205133,##ENSG00000253341,##ENSG00000117266,,##ENSG00000183665,,,,,,,,##ENSG00000130590,,,##ENSG00000160712,
##ENSG00000149679,##ENSG00000116667,##ENSG00000136478,,,##ENSG00000170791,##ENSG00000066027,##ENSG00000231663,##ENSG00000184428,##ENSG00000136631,##ENSG00000117143,##ENSG00000169418,,,##ENSG00000175895,##ENSG00000104369,##ENSG00000163485,,##ENSG00000147687,,,,,,,,##ENSG00000149658,,,##ENSG00000160714,
##ENSG00000259456,##ENSG00000116701,##ENSG00000237854,,,##ENSG00000236814,##ENSG00000065600,##ENSG00000168275,##ENSG00000167700,##ENSG00000143398,##ENSG00000162738,##ENSG00000143621,,,##ENSG00000253854,##ENSG00000154589,##ENSG00000158715,,##ENSG00000272486,,,,,,,,##ENSG00000101189,,,##ENSG00000160710,
##ENSG00000000419,##ENSG00000198756,##ENSG00000186665,,,##ENSG00000137574,##ENSG00000123684,##ENSG00000223353,##ENSG00000167701,##ENSG00000159352,##ENSG00000171786,##ENSG00000160741,,,##ENSG00000253704,##ENSG00000104381,##ENSG00000069275,,##ENSG00000170873,,,,,,,,##ENSG00000229873,,,##ENSG00000229780,
##ENSG00000124217,##ENSG00000232860,##ENSG00000267352,,,##ENSG00000254087,##ENSG00000136643,##ENSG00000196418,##ENSG00000160959,##ENSG00000143416,##ENSG00000272574,##ENSG00000198837,,,##ENSG00000156172,##ENSG00000175606,##ENSG00000162896,,##ENSG00000253106,,,,,,,,,,,##ENSG00000273110,
##ENSG00000228663,##ENSG00000116698,##ENSG00000154229,,,##ENSG00000167904,##ENSG00000117691,##ENSG00000259865,##ENSG00000255182,##ENSG00000143393,##ENSG00000224261,##ENSG00000227295,,,##ENSG00000271971,##ENSG00000154582,##ENSG00000117280,,##ENSG00000120526,,,,,,,,,,,##ENSG00000235919,
##ENSG00000101126,##ENSG00000143344,##ENSG00000136463,,,##ENSG00000169139,##ENSG00000123685,##ENSG00000054267,##ENSG00000213563,##ENSG00000143390,##ENSG00000162736,##ENSG00000163374,,,##ENSG00000188343,##ENSG00000244295,##ENSG00000133065,,##ENSG00000164983,,,,,,,,,,,,
##ENSG00000124243,##ENSG00000143183,##ENSG00000270587,,,##ENSG00000269924,##ENSG00000203705,##ENSG00000227671,##ENSG00000265393,##ENSG00000143373,##ENSG00000160767,##ENSG00000143554,,,##ENSG00000156170,##ENSG00000121039,##ENSG00000117139,,##ENSG00000120533,,,,,,,,,,,,
##ENSG00000230043,##ENSG00000206990,##ENSG00000108932,,,##ENSG00000164808,##ENSG00000143493,##ENSG00000059588,##ENSG00000160957,##ENSG00000224645,##ENSG00000162735,##ENSG00000143624,,,##ENSG00000164944,##ENSG00000104343,##ENSG00000228288,,##ENSG00000156802,,,,,,,,,,,,
##ENSG00000124171,##ENSG00000143198,##ENSG00000136485,,,##ENSG00000221869,##ENSG00000220749,##ENSG00000203666,##ENSG00000160972,##ENSG00000237976,##ENSG00000132196,##ENSG00000243613,,,##ENSG00000164953,##ENSG00000164764,##ENSG00000143486,,##ENSG00000176853,,,,,,,,,,,,
,##ENSG00000143149,##ENSG00000266473,,,##ENSG00000104738,##ENSG00000117697,##ENSG00000136630,##ENSG00000178209,##ENSG00000159377,##ENSG00000122218,##ENSG00000177954,,,##ENSG00000104375,##ENSG00000147604,##ENSG00000224114,,##ENSG00000165156,,,,,,,,,,,,
,##ENSG00000236364,##ENSG00000141337,,,##ENSG00000019549,##ENSG00000162772,##ENSG00000143748,##ENSG00000204839,##ENSG00000014914,##ENSG00000235082,##ENSG00000163479,,,##ENSG00000197275,##ENSG00000040341,##ENSG00000162889,,##ENSG00000156795,,,,,,,,,,,,
,##ENSG00000143179,##ENSG00000256525,,,##ENSG00000188873,##ENSG00000198468,##ENSG00000185495,##ENSG00000259891,##ENSG00000143442,##ENSG00000162733,##ENSG00000143614,,,##ENSG00000265817,##ENSG00000147601,##ENSG00000143479,,##ENSG00000147642,,,,,,,,,,,,
,##ENSG00000135862,##ENSG00000108654,,,##ENSG00000168300,##ENSG00000260805,##ENSG00000232372,##ENSG00000147799,##ENSG00000143368,##ENSG00000207720,##ENSG00000132718,,,##ENSG00000183808,##ENSG00000253636,##ENSG00000234981,,##ENSG00000147654,,,,,,,,,,,,
,##ENSG00000094975,##ENSG00000182481,,,##ENSG00000228801,##ENSG00000174606,##ENSG00000272645,##ENSG00000232600,##ENSG00000143367,##ENSG00000158710,##ENSG00000273026,,,##ENSG00000253722,##ENSG00000147592,##ENSG00000236439,,##ENSG00000189376,,,,,,,,,,,,
,##ENSG00000224040,##ENSG00000258890,,,##ENSG00000023287,##ENSG00000162769,##ENSG00000233771,##ENSG00000179950,##ENSG00000143450,##ENSG00000228606,##ENSG00000116580,,,##ENSG00000164951,##ENSG00000067167,##ENSG00000077157,,##ENSG00000156787,,,,,,,,,,,,
,##ENSG00000135838,##ENSG00000266241,,,##ENSG00000187735,,##ENSG00000162711,##ENSG00000071894,##ENSG00000143436,##ENSG00000143318,##ENSG00000132680,,,##ENSG00000240509,##ENSG00000254332,##ENSG00000196550,,##ENSG00000156804,,,,,,,,,,,,
,##ENSG00000272205,##ENSG00000167085,,,##ENSG00000120992,,##ENSG00000153187,##ENSG00000160949,##ENSG00000249602,##ENSG00000227741,##ENSG00000273002,,,##ENSG00000253948,##ENSG00000178860,##ENSG00000123836,,##ENSG00000253607,,,,,,,,,,,,
,##ENSG00000075391,##ENSG00000250186,,,##ENSG00000137547,,##ENSG00000232347,##ENSG00000147804,##ENSG00000269621,##ENSG00000162734,##ENSG00000163565,,,##ENSG00000272509,##ENSG00000140396,##ENSG00000180667,,##ENSG00000136986,,,,,,,,,,,,
,##ENSG00000135829,,,,##ENSG00000047249,,##ENSG00000143514,##ENSG00000160948,##ENSG00000268288,##ENSG00000232995,##ENSG00000143622,,,##ENSG00000175305,##ENSG00000205268,##ENSG00000196352,,##ENSG00000104408,,,,,,,,,,,,
,##ENSG00000215835,,,,##ENSG00000253729,,##ENSG00000203667,##ENSG00000173137,##ENSG00000159164,##ENSG00000143228,##ENSG00000116584,,,##ENSG00000254307,##ENSG00000272010,##ENSG00000077152,,##ENSG00000104412,,,,,,,,,,,,
,##ENSG00000188859,,,,##ENSG00000253667,,##ENSG00000188206,##ENSG00000272115,##ENSG00000163191,##ENSG00000132716,##ENSG00000213088,,,##ENSG00000156162,##ENSG00000253330,##ENSG00000174059,,##ENSG00000178764,,,,,,,,,,,,
